,lien,Energie,Kilométrage,Puissance,Année,Mois,saison,Boite,Region,Modèle,Marque,carrosserie,prix,EUR,USD
146,www.affare.tn,Essence,174000.0,7.0,2015.0,1.0,hiver,Manuelle,Ariana, passat,Volkswagen,Berline,48000.0,14831.76,16163.807999999999
147,www.affare.tn,Essence,275000.0,4.0,2004.0,1.0,hiver,Manuelle,Ben arous, peugeot,Peugeot,Berline,16400.0,5067.518,5522.6344
148,www.affare.tn,Essence,123459.0,5.0,2005.0,1.0,hiver,Manuelle,Tunis, fiat,Fiat,Berline,13800.0,4264.131,4647.0948
149,www.affare.tn,Diesel,150000.0,5.0,2016.0,1.0,hiver,Manuelle,Tunis, cadd4y,Volkswagen,Berline,40000.0,12359.800000000001,13469.84
150,www.affare.tn,Essence,125853.791433892,5.0,2017.0,1.0,hiver,Manuelle,Sfax, citro%C3%ABn,Citroen,Berline,6300.0,1946.6685000000002,2121.4998
151,www.affare.tn,Essence,20666.0,6.0,2018.0,1.0,hiver,Automatique,Ariana, citro%C3%ABn,Citroen,Berline,56000.0,17303.72,18857.775999999998
152,www.affare.tn,Essence,200.0,5.0,2011.0,1.0,hiver,Manuelle,Sfax, grand,Volkswagen,Berline,19.0,5.8709050000000005,6.398174
153,www.affare.tn,Essence,106000.0,4.0,2013.0,1.0,hiver,Manuelle,Monastir, fiat,Fiat,Berline,28000.0,8651.86,9428.887999999999
154,www.affare.tn,Essence,75000.0,6.0,2013.0,1.0,hiver,Manuelle,Sousse, citro%C3%ABn,Citroen,Berline,32.0,9.88784,10.775872
155,www.affare.tn,Essence,225.0,5.0,2005.0,1.0,hiver,Manuelle,Ariana, ford,Ford,Berline,17.0,5.252915000000001,5.724682
156,www.affare.tn,Essence,173000.0,9.0,2014.0,1.0,hiver,Manuelle,Tunis, voiture,Volkswagen,Berline,42000.0,12977.79,14143.332
157,www.affare.tn,Essence,120000.0,5.0,2012.0,1.0,hiver,Manuelle,Ben arous, affare,Volkswagen,Berline,18000.0,5561.910000000001,6061.428
158,www.affare.tn,Essence,154800.0,5.0,2009.0,1.0,hiver,Manuelle,Ariana, polo,Volkswagen,Berline,22000.0,6797.89,7408.411999999999
159,www.affare.tn,Essence,206000.0,9.0,2008.0,1.0,hiver,Automatique,Tunis, mercedes,Mercedes,Berline,43000.0,13286.785000000002,14480.078
160,www.affare.tn,Essence,270000.0,9.0,2009.0,1.0,hiver,Automatique,Ariana, passat,Volkswagen,Berline,45000.0,13904.775000000001,15153.57
161,www.affare.tn,Diesel,260.0,5.0,2020.0,1.0,hiver,Manuelle,Sousse, clio,Renault,Berline,20300.0,6272.5985,6835.9438
162,www.affare.tn,Essence,400000.0,7.0,2015.0,1.0,hiver,Manuelle,Sousse, kia,Kia,Berline,36000.0,11123.820000000002,12122.856
163,www.affare.tn,Essence,64000.0,5.0,2013.0,1.0,hiver,Manuelle,Gabes, peugeot,Peugeot,Berline,29000.0,8960.855000000001,9765.634
164,www.affare.tn,Essence,240000.0,6.0,2006.0,12.0,hiver,Manuelle,Ariana, golf,Volkswagen,Berline,30000.0,9269.85,10102.38
165,www.affare.tn,Essence,108000.0,7.0,2013.0,12.0,hiver,Manuelle,Tunis, bmw,BMW,Berline,59000.0,18230.705,19868.014
166,www.affare.tn,Diesel,240000.0,9.0,2002.0,12.0,hiver,Automatique,Tunis, a,Volkswagen,Berline,32000.0,9887.84,10775.872
