,lien,Energie,Kilométrage,Puissance,Mise en circulation,Année,Date Annonce,Mois,saison,Boite,Region,Modèle,Marque,carrosserie,prix
839,www.affare.tn,Diesel,156000,7.0,2017-08-25,2017.0,29/08/21,8.0,ete,Manuelle,Tunis, volkswagen,Volkswagen,,37000.0
840,www.affare.tn,Diesel,2670000,12.0,2010-03-19,2010.0,29/08/21,8.0,ete,Automatique,Ariana, a,,,52000.0
841,www.affare.tn,Essence,5 ,,c2en très bonne état à vendre,2011.0,,,,,, c2,,,
842,www.affare.tn,Essence,00000,4.0,2017-08-29,2017.0,29/08/21,8.0,ete,Manuelle,Manouba, mitsibutshi,,,24000.0
843,www.affare.tn,Diesel,400000,11.0,2021-08-28,2006.0,28/08/21,8.0,ete,Manuelle,Mahdia, bmw,BMW,,38.0
844,www.affare.tn,Essence,250000,5.0,Boîte 5,2005.0,28/08/21,8.0,ete,,Nabeul, fiat,Fiat,,6700000.0
845,www.affare.tn,Diesel,320000,6.0,2012-09-25,2012.0,28/08/21,8.0,ete,Manuelle,Ariana, une,,,29500.0
846,www.affare.tn,Diesel,471000,10.0,2021-08-28,1998.0,28/08/21,8.0,ete,Manuelle,Kef, super,,,26000.0
847,www.affare.tn,Essence,130,7.0,2011-12-30,2012.0,28/08/21,8.0,ete,Automatique,Tunis, ds3,DS,,32.0
848,www.affare.tn,Essence,156.000,4.0,2009-08-17,2009.0,28/08/21,8.0,ete,Manuelle,Ben arous, toyota,Toyota,,22.0
849,www.affare.tn,Essence,395000,5.0,2015-05-13,2015.0,28/08/21,8.0,ete,Manuelle,Medenine, dacia,Dacia,,31000.0
850,www.affare.tn,Diesel,1000,5.0,2009-10-09,2009.0,27/08/21,8.0,ete,Manuelle,Ariana, polo,Volkswagen,,20000.0
851,www.affare.tn,Essence,154000,6.0,2011-08-28,201.0,27/08/21,8.0,ete,Automatique,Ben arous, volkswagen,Volkswagen,,39000.0
852,www.affare.tn,Diesel,124000,10.0,2010-09-09,2010.0,27/08/21,8.0,ete,Automatique,Monastir, bmw,BMW,,135000.0
853,www.affare.tn,Diesel,100000,6.0,2009-07-28,2007.0,27/08/21,8.0,ete,Manuelle,Mahdia, clio,Renault,,18500.0
854,www.affare.tn,Essence,405000,5.0,2009-11-28,2009.0,26/08/21,8.0,ete,Manuelle,Tunis, symbole,Renault,,17500.0
855,www.affare.tn,Essence,1000,10.0,2021-08-26,1979.0,26/08/21,8.0,ete,Manuelle,Sfax, r5,Renault,,3200.0
856,www.affare.tn,Diesel,183000,6.0,2021-08-20,2012.0,26/08/21,8.0,ete,Manuelle,Tunis, superbe,,,30100.0
857,www.affare.tn,Diesel,380000,,,2012.0,,,,,, voiture,,,
858,www.affare.tn,Diesel,175000,,,2012.0,,,,,, taxi,,,
859,www.affare.tn,Essence,231000,9.0,2021-08-26,1998.0,26/08/21,8.0,ete,Manuelle,Monastir, fiat,Fiat,,10000.0
860,www.affare.tn,Essence,147000,5.0,2010-02-24,2010.0,26/08/21,8.0,ete,Manuelle,Monastir, ford,Ford,,24000.0
861,www.affare.tn,Diesel,200,7.0,2012-09-27,2012.0,25/08/21,8.0,ete,Manuelle,Sousse, peugeot,Peugeot,,22.0
862,www.affare.tn,Diesel,230000,5.0,2021-11-11,2010.0,25/08/21,8.0,ete,Manuelle,Bizerte, fiat,Fiat,,22000.0
863,www.affare.tn,Diesel,150000,11.0,2009-01-22,2009.0,25/08/21,8.0,ete,Manuelle,Gabes, ssangyong,Ssangyong,,42000.0
864,www.affare.tn,Diesel,0000,7.0,2021-08-02,2004.0,,,,Manuelle,Sidi Bouzid, une,,,
865,www.affare.tn,Essence,100000,5.0,2021-08-25,2017.0,,,,Manuelle,Tunis, premiere,,,
866,www.affare.tn,Diesel,500000,5.0,2015-12-17,2015.0,25/08/21,8.0,ete,Manuelle,Ben arous, taxi,,,33000.0
867,www.affare.tn,Essence,157,10.0,2014-05-21,2015.0,25/08/21,8.0,ete,Automatique,Tunis, volvoo,Volvo,,41.0
868,www.affare.tn,Essence,260000,5.0,2009-08-01,2009.0,25/08/21,8.0,ete,Manuelle,Kasserine, citroen,Citroen,,19500.0
869,www.affare.tn,Essence,355,6.0,2021-08-25,1991.0,,,,Manuelle,Sousse, golfe,Volkswagen,,
870,www.affare.tn,Essence,250000,7.0,1998-11-29,1999.0,25/08/21,8.0,ete,Manuelle,Ben arous, daihatsou,,,13000.0
871,www.affare.tn,Essence,320000,5.0,Boîte 5,1998.0,25/08/21,8.0,ete,,Ariana, belle,,,13800.0
872,www.affare.tn,Essence,136000,5.0,2011-06-18,2011.0,24/08/21,8.0,ete,Manuelle,Tunis, citro%C3%ABn,Citroen,,26000.0
873,www.affare.tn,Diesel,333000,10.0,2009-06-24,2009.0,24/08/21,8.0,ete,Automatique,Sousse, mercedes,Mercedes,,45000.0
874,www.affare.tn,Essence,270000,5.0,2009-11-11,2009.0,24/08/21,8.0,ete,Manuelle,Ben arous, voiture,,,19000.0
